            VLM1 -  -10.0°-60.00m/s                VLM1 -   -9.0°-60.00m/s                VLM1 -   -8.0°-60.00m/s                VLM1 -   -7.0°-60.00m/s                VLM1 -   -6.0°-60.00m/s                VLM1 -   -5.0°-60.00m/s                VLM1 -   -4.0°-60.00m/s                VLM1 -   -3.0°-60.00m/s                VLM1 -   -2.0°-60.00m/s                VLM1 -   -1.0°-60.00m/s                VLM1 -    0.0°-60.00m/s                VLM1 -    1.0°-60.00m/s                VLM1 -    2.0°-60.00m/s                VLM1 -    3.0°-60.00m/s                VLM1 -    4.0°-60.00m/s                VLM1 -    5.0°-60.00m/s                VLM1 -    6.0°-60.00m/s                VLM1 -    7.0°-60.00m/s                VLM1 -    8.0°-60.00m/s                VLM1 -    9.0°-60.00m/s                VLM1 -   10.0°-60.00m/s                VLM1 -   11.0°-60.00m/s                VLM1 -   12.0°-60.00m/s                VLM1 -   13.0°-60.00m/s                VLM1 -   14.0°-60.00m/s                VLM1 -   15.0°-60.00m/s    
     1.044928        -0.2276981       1.044928        -0.2280569       1.044928        -0.2283744       1.044928        -0.2286502       1.044928         -0.228884       1.044928        -0.2290754       1.044928        -0.2292243       1.044928        -0.2293304       1.044928        -0.2293937       1.044928        -0.2294141       1.044928        -0.2293915       1.044928        -0.2293259       1.044928        -0.2292175       1.044928        -0.2290663       1.044928        -0.2288727       1.044928        -0.2286367       1.044928        -0.2283587       1.044928         -0.228039       1.044928         -0.227678       1.044928        -0.2272762       1.044928         -0.226834       1.044928         -0.226352       1.044928        -0.2258307       1.044928        -0.2252709       1.044928        -0.2246731       1.044928        -0.2240381  
     1.733614        -0.2281146       1.733614        -0.2285042       1.733614        -0.2288549       1.733614        -0.2291663       1.733614        -0.2294381       1.733614        -0.2296699       1.733614        -0.2298615       1.733614        -0.2300126       1.733614         -0.230123       1.733614        -0.2301926       1.733614        -0.2302213       1.733614        -0.2302091       1.733614        -0.2301559       1.733614        -0.2300619       1.733614        -0.2299272       1.733614        -0.2297519       1.733614        -0.2295363       1.733614        -0.2292806       1.733614         -0.228985       1.733614        -0.2286501       1.733614        -0.2282761       1.733614        -0.2278636       1.733614        -0.2274131       1.733614         -0.226925       1.733614           -0.2264       1.733614        -0.2258387  
     2.410457        -0.2282073       2.410457        -0.2286211       2.410457        -0.2289981       2.410457        -0.2293379       2.410457        -0.2296402       2.410457        -0.2299044       2.410457        -0.2301305       2.410457        -0.2303179       2.410457        -0.2304666       2.410457        -0.2305764       2.410457         -0.230647       2.410457        -0.2306784       2.410457        -0.2306707       2.410457        -0.2306237       2.410457        -0.2305375       2.410457        -0.2304124       2.410457        -0.2302483       2.410457        -0.2300455       2.410457        -0.2298043       2.410457        -0.2295249       2.410457        -0.2292077       2.410457        -0.2288531       2.410457        -0.2284615       2.410457        -0.2280334       2.410457        -0.2275692       2.410457        -0.2270697  
     3.070834        -0.2282167       3.070834        -0.2286465       3.070834        -0.2290413       3.070834        -0.2294006       3.070834        -0.2297239       3.070834         -0.230011       3.070834        -0.2302613       3.070834        -0.2304746       3.070834        -0.2306507       3.070834        -0.2307894       3.070834        -0.2308904       3.070834        -0.2309537       3.070834        -0.2309791       3.070834        -0.2309666       3.070834        -0.2309163       3.070834        -0.2308283       3.070834        -0.2307025       3.070834        -0.2305392       3.070834        -0.2303386       3.070834        -0.2301009       3.070834        -0.2298265       3.070834        -0.2295155       3.070834        -0.2291685       3.070834        -0.2287858       3.070834        -0.2283679       3.070834        -0.2279154  
     3.710235        -0.2282133       3.710235        -0.2286517       3.710235        -0.2290563       3.710235        -0.2294268       3.710235        -0.2297625       3.710235         -0.230063       3.710235        -0.2303282       3.710235        -0.2305575       3.710235        -0.2307507       3.710235        -0.2309076       3.710235         -0.231028       3.710235        -0.2311118       3.710235        -0.2311588       3.710235         -0.231169       3.710235        -0.2311424       3.710235        -0.2310789       3.710235        -0.2309788       3.710235        -0.2308421       3.710235        -0.2306689       3.710235        -0.2304595       3.710235        -0.2302142       3.710235        -0.2299332       3.710235        -0.2296169       3.710235        -0.2292657       3.710235        -0.2288799       3.710235        -0.2284601  
     4.324291        -0.2282194       4.324291        -0.2286593       4.324291        -0.2290663       4.324291        -0.2294399       4.324291        -0.2297797       4.324291        -0.2300851       4.324291        -0.2303559       4.324291        -0.2305917       4.324291        -0.2307922       4.324291        -0.2309571       4.324291        -0.2310864       4.324291        -0.2311797       4.324291        -0.2312371       4.324291        -0.2312584       4.324291        -0.2312436       4.324291        -0.2311927       4.324291        -0.2311058       4.324291         -0.230983       4.324291        -0.2308245       4.324291        -0.2306304       4.324291        -0.2304009       4.324291        -0.2301364       4.324291        -0.2298372       4.324291        -0.2295036       4.324291        -0.2291361       4.324291         -0.228735  
     4.908808        -0.2282436       4.908808        -0.2286777       4.908808        -0.2290792       4.908808        -0.2294476       4.908808        -0.2297826       4.908808        -0.2300836       4.908808        -0.2303504       4.908808        -0.2305826       4.908808        -0.2307798       4.908808         -0.230942       4.908808        -0.2310688       4.908808        -0.2311602       4.908808        -0.2312159       4.908808         -0.231236       4.908808        -0.2312205       4.908808        -0.2311692       4.908808        -0.2310824       4.908808          -0.23096       4.908808        -0.2308024       4.908808        -0.2306095       4.908808        -0.2303818       4.908808        -0.2301194       4.908808        -0.2298227       4.908808         -0.229492       4.908808        -0.2291278       4.908808        -0.2287304  
     5.459792        -0.2282921       5.459792        -0.2287112       5.459792        -0.2290977       5.459792        -0.2294509       5.459792        -0.2297705       5.459792         -0.230056       5.459792        -0.2303071       5.459792        -0.2305235       5.459792         -0.230705       5.459792        -0.2308513       5.459792        -0.2309622       5.459792        -0.2310376       5.459792        -0.2310774       5.459792        -0.2310816       5.459792        -0.2310502       5.459792        -0.2309832       5.459792        -0.2308806       5.459792        -0.2307426       5.459792        -0.2305695       5.459792        -0.2303613       5.459792        -0.2301183       5.459792        -0.2298409       5.459792        -0.2295293       5.459792         -0.229184       5.459792        -0.2288053       5.459792        -0.2283938  
     5.973481        -0.2283712       5.973481        -0.2287632       5.973481        -0.2291215       5.973481        -0.2294458       5.973481        -0.2297356       5.973481        -0.2299905       5.973481        -0.2302104       5.973481        -0.2303948       5.973481        -0.2305436       5.973481        -0.2306567       5.973481        -0.2307337       5.973481        -0.2307748       5.973481        -0.2307797       5.973481        -0.2307486       5.973481        -0.2306814       5.973481        -0.2305782       5.973481        -0.2304392       5.973481        -0.2302645       5.973481        -0.2300544       5.973481         -0.229809       5.973481        -0.2295288       5.973481        -0.2292139       5.973481        -0.2288649       5.973481        -0.2284821       5.973481         -0.228066       5.973481        -0.2276172  
     6.446364        -0.2284856       6.446364        -0.2288321       6.446364        -0.2291432       6.446364        -0.2294184       6.446364        -0.2296576       6.446364        -0.2298602       6.446364        -0.2300262       6.446364        -0.2301553       6.446364        -0.2302473       6.446364        -0.2303022       6.446364        -0.2303199       6.446364        -0.2303003       6.446364        -0.2302435       6.446364        -0.2301495       6.446364        -0.2300185       6.446364        -0.2298507       6.446364        -0.2296461       6.446364        -0.2294051       6.446364         -0.229128       6.446364        -0.2288151       6.446364        -0.2284668       6.446364        -0.2280835       6.446364        -0.2276657       6.446364        -0.2272139       6.446364        -0.2267286       6.446364        -0.2262104  
     6.875213        -0.2286239       6.875213        -0.2288971       6.875213        -0.2291317       6.875213        -0.2293276       6.875213        -0.2294846       6.875213        -0.2296023       6.875213        -0.2296807       6.875213        -0.2297197       6.875213        -0.2297192       6.875213        -0.2296792       6.875213        -0.2295998       6.875213        -0.2294811       6.875213        -0.2293232       6.875213        -0.2291263       6.875213        -0.2288906       6.875213        -0.2286165       6.875213        -0.2283043       6.875213        -0.2279543       6.875213         -0.227567       6.875213        -0.2271428       6.875213        -0.2266823       6.875213        -0.2261861       6.875213        -0.2256546       6.875213        -0.2250887       6.875213        -0.2244889       6.875213         -0.223856  
     7.257097         -0.228709       7.257097        -0.2288665       7.257097        -0.2289809       7.257097        -0.2290519       7.257097        -0.2290796       7.257097        -0.2290638       7.257097        -0.2290046       7.257097        -0.2289021       7.257097        -0.2287564       7.257097        -0.2285676       7.257097         -0.228336       7.257097        -0.2280619       7.257097        -0.2277456       7.257097        -0.2273875       7.257097         -0.226988       7.257097        -0.2265477       7.257097         -0.226067       7.257097        -0.2255465       7.257097        -0.2249869       7.257097        -0.2243888       7.257097        -0.2237531       7.257097        -0.2230804       7.257097        -0.2223716       7.257097        -0.2216275       7.257097        -0.2208491       7.257097        -0.2200372  
     7.589407        -0.2284506       7.589407        -0.2284323       7.589407         -0.228364       7.589407        -0.2282459       7.589407         -0.228078       7.589407        -0.2278605       7.589407        -0.2275938       7.589407        -0.2272782       7.589407        -0.2269139       7.589407        -0.2265016       7.589407        -0.2260416       7.589407        -0.2255346       7.589407        -0.2249812       7.589407         -0.224382       7.589407        -0.2237377       7.589407        -0.2230492       7.589407        -0.2223173       7.589407        -0.2215429       7.589407        -0.2207269       7.589407        -0.2198703       7.589407        -0.2189742       7.589407        -0.2180396       7.589407        -0.2170677       7.589407        -0.2160598       7.589407        -0.2150169       7.589407        -0.2139404  
     7.869874        -0.2269903       7.869874         -0.226722       7.869874        -0.2263948       7.869874        -0.2260089       7.869874        -0.2255649       7.869874        -0.2250633       7.869874        -0.2245047       7.869874        -0.2238898       7.869874        -0.2232194       7.869874        -0.2224942       7.869874        -0.2217151       7.869874        -0.2208832       7.869874        -0.2199994       7.869874        -0.2190647       7.869874        -0.2180804       7.869874        -0.2170476       7.869874        -0.2159676       7.869874        -0.2148417       7.869874        -0.2136713       7.869874        -0.2124577       7.869874        -0.2112026       7.869874        -0.2099073       7.869874        -0.2085735       7.869874        -0.2072028       7.869874        -0.2057969       7.869874        -0.2043575  
     8.096582        -0.2223346       8.096582        -0.2217504       8.096582        -0.2210966       8.096582        -0.2203741       8.096582        -0.2195838       8.096582        -0.2187267       8.096582        -0.2178037       8.096582         -0.216816       8.096582        -0.2157648       8.096582        -0.2146514       8.096582        -0.2134772       8.096582        -0.2122435       8.096582        -0.2109519       8.096582        -0.2096039       8.096582        -0.2082012       8.096582        -0.2067456       8.096582        -0.2052387       8.096582        -0.2036824       8.096582        -0.2020786       8.096582        -0.2004293       8.096582        -0.1987364       8.096582        -0.1970021       8.096582        -0.1952284       8.096582        -0.1934175       8.096582        -0.1915717       8.096582        -0.1896931  
     8.267982        -0.2113325       8.267982        -0.2104093       8.267982        -0.2094068       8.267982        -0.2083261       8.267982        -0.2071688       8.267982         -0.205936       8.267982        -0.2046293       8.267982        -0.2032504       8.267982        -0.2018009       8.267982        -0.2002826       8.267982        -0.1986973       8.267982        -0.1970469       8.267982        -0.1953335       8.267982        -0.1935591       8.267982         -0.191726       8.267982        -0.1898362       8.267982        -0.1878923       8.267982        -0.1858964       8.267982        -0.1838511       8.267982        -0.1817588       8.267982        -0.1796222       8.267982        -0.1774437       8.267982         -0.175226       8.267982        -0.1729719       8.267982        -0.1706841       8.267982        -0.1683654  
     8.382903        -0.1928926       8.382903        -0.1916611       8.382903        -0.1903431       8.382903        -0.1889403       8.382903        -0.1874544       8.382903        -0.1858873       8.382903        -0.1842407       8.382903        -0.1825168       8.382903        -0.1807177       8.382903        -0.1788455       8.382903        -0.1769025       8.382903         -0.174891       8.382903        -0.1728136       8.382903        -0.1706728       8.382903        -0.1684711       8.382903        -0.1662112       8.382903         -0.163896       8.382903        -0.1615282       8.382903        -0.1591107       8.382903        -0.1566465       8.382903        -0.1541385       8.382903        -0.1515898       8.382903        -0.1490035       8.382903        -0.1463828       8.382903        -0.1437309       8.382903         -0.141051  
     8.440561        -0.1826867       8.440561        -0.1812208       8.440561        -0.1796583       8.440561        -0.1780009       8.440561        -0.1762508       8.440561          -0.17441       8.440561        -0.1724807       8.440561        -0.1704655       8.440561        -0.1683666       8.440561        -0.1661866       8.440561        -0.1639283       8.440561        -0.1615944       8.440561        -0.1591876       8.440561         -0.156711       8.440561        -0.1541675       8.440561        -0.1515603       8.440561        -0.1488925       8.440561        -0.1461674       8.440561        -0.1433883       8.440561        -0.1405586       8.440561        -0.1376817       8.440561        -0.1347611       8.440561        -0.1318005       8.440561        -0.1288033       8.440561        -0.1257733       8.440561        -0.1227142  
